_last_judgment_at,gender,gender:confidence,created,description,fav_number,tweet_count,tw_count
10/26/15 23:24,male,1,12/5/13 1:48,i sing my own rhythm.,0,110964,110964
10/26/15 23:30,male,1,10/1/12 13:51,I'm the author of novels filled with family drama and romance.,68,7471,7471
10/26/15 23:33,male,0.6625,11/28/14 11:30,louis whining and squealing and all,7696,5617,5617
10/26/15 23:10,male,1,6/11/09 22:39,"Mobile guy.  49ers, Shazam, Google, Kleiner Perkins, Yahoo!, Sprint PCS, AirTouch, Air Force.  Stanford GSB, UVa.  Dad, Husband, Brother.  Golfer.",202,1693,1693
10/27/15 1:15,female,1,4/16/14 13:23,Ricky Wilson The Best FRONTMAN/Kaiser Chiefs The Best BAND Xxxx Thank you Kaiser Chiefs for an incredible year of gigs and memories to cherish always :) Xxxxxxx,37318,31462,31462
10/27/15 1:47,female,1,3/11/10 18:14,you don't know me.,3901,20036,20036
10/27/15 1:57,brand,1,4/24/08 13:03,"A global marketplace for images, videos and music. Sharing photos, inspiration, design tips & videos for the creative community.",4122,13354,13354
10/26/15 23:48,male,1,12/3/12 21:54,The secret of getting ahead is getting started.,80,112117,112117
10/27/15 1:52,female,1,9/8/15 4:50,Pll Fan // Crazy about MCD // Ramen is bae,1825,482,482
10/27/15 1:49,female,1,5/13/11 3:32,"Renaissance art historian, University of Nottingham; fuelled by Haribo, partial to coffee and with a soft spot for Renaissance China. National Teaching Fellow.",3115,26085,26085
10/26/15 23:17,brand,0.7002,11/16/11 17:14,"Clean food that tastes great while providing energy & nutrients! No guilt granola, vegan/paleo friendly options too! Cert organic, GF, kosher",516,5179,5179
10/26/15 22:33,brand,1,2/22/15 20:06,highly extraordinary auctions,0,66684,66684
10/26/15 22:20,female,0.6509,8/10/12 5:05,Senior '16 . XI-XII-MMXIV.,3371,13585,13585
10/26/15 23:29,brand,1,5/1/12 22:14,"Come join the fastest blog network online today http://t.co/S5mFPA1vgK and http://t.co/MPUuQtYF1g We cover credit repair, credit cards and bankruptcy.",0,199466,199466
10/27/15 1:29,female,0.6501,4/6/13 15:31,"im just here for t��p, bo burnham, and disney world.",13928,18469,18469
10/27/15 1:50,female,1,10/3/15 21:32,,0,44421,44421
10/26/15 23:43,female,1,8/27/11 9:42,JMKM�_ҕ�,1762,16627,16627
10/26/15 22:50,male,1,10/18/09 11:41,"Over enthusiastic F1 fan.  Model collector, music fan and a film fanatic.  Also an Aspergian.",5,91,91
10/27/15 1:42,male,1,7/20/15 12:01,,1,13,13
